filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20220502_140139_jpg.rf.8ca3e1adb74b1a04521316b0cc971df7.jpg,640,640,closedFist,130,217,567,526
IMG_20220522_164559_jpg.rf.8feffc9a380ecdb113b03b61ddb843ca.jpg,640,640,closedFist,0,0,640,640
IMG_20220502_141921_jpg.rf.8ff0bf9c3baab202b132fa4eb5feb05b.jpg,640,640,fingerSymbols,0,109,567,611
IMG_20220502_140131_jpg.rf.8ff8db71f4837d1831f6109e2131695d.jpg,640,640,closedFist,152,207,530,491
IMG_20220509_131848_jpg.rf.8e4f4c35cb1ba598308b37eaa8e18ea5.jpg,640,640,semiOpenFist,103,217,469,597
IMG_20220524_140149_jpg.rf.8e318e7eb210576affbbbca0626ed3e5.jpg,640,640,semiOpenPalm,0,159,640,465
IMG_20220502_135958_jpg.rf.8d47a3c9939bd847990aa6f67846e468.jpg,640,640,openPalm,97,370,610,553
IMG_20220430_182347_jpg.rf.901bce57c34a63c151dccaeaa48a9867.jpg,640,640,fingerSymbols,65,224,640,482
IMG_20220430_185237_jpg.rf.8d377e41ffca0069e80b2157ef6fde5b.jpg,640,640,fingerSymbols,0,177,640,570
IMG_20220509_132344_jpg.rf.8ce3320b52c37d1ae97bc1a512b6c4ee.jpg,640,640,fingerSymbols,0,0,640,640
IMG_20220509_132816_jpg.rf.8ffc241abc0e6aa37c86a35c0cfe41cc.jpg,640,640,semiOpenFist,42,168,545,574
IMG_20220502_125651_jpg.rf.8e206f7d4ae702c2e214cf853c7de168.jpg,640,640,closedFist,133,217,530,540
IMG_20220502_132417_jpg.rf.8db663ba25db411a0d43eec0215b8c35.jpg,640,640,semiOpenPalm,140,191,483,551
IMG_20220509_130506_jpg.rf.9146b0cef219e5eb79cc619d7c486282.jpg,640,640,semiOpenPalm,0,215,640,481
IMG_20220430_181058_jpg.rf.9143ba5d5777dcefd3669a0ef03f8cd2.jpg,640,640,semiOpenPalm,0,139,640,453
IMG_20220430_182219_jpg.rf.8f7a9623b437a7a084ed04a9f968998f.jpg,640,640,fingerSymbols,83,57,593,520
IMG_20220522_141646_jpg.rf.91f5003cd5f211f040f793f0d6ef355b.jpg,640,640,openPalm,0,285,640,518
IMG_20220522_141913_jpg.rf.8f9f8521c96f87e628619dfbda90f3b9.jpg,640,640,singleFingerBend,148,111,640,639
IMG_20220502_135149_jpg.rf.914a6270394318b18618bbf43b838cd8.jpg,640,640,openPalm,0,247,640,469
IMG_20220501_163521_jpg.rf.91d06d95292ef5778914ecf4ea909821.jpg,640,640,fingerSymbols,93,206,497,491
IMG_20220502_125324_jpg.rf.92726e1baa483d1aea0d97426e44b0fd.jpg,640,640,fingerSymbols,26,134,576,529
IMG_20220509_130719_jpg.rf.92d19f5f7715286857a328f3ce9a84cd.jpg,640,640,fingerSymbols,112,151,527,586
IMG_20220522_165645_jpg.rf.92793fe2b01ce44da5d0a115a94e3596.jpg,640,640,semiOpenPalm,0,229,640,541
IMG_20220524_140204_jpg.rf.930341cddf404ca2c9f5df9fed67bdad.jpg,640,640,fingerCircle,67,64,524,559
IMG_20220522_165457_jpg.rf.8ed7c86ee00cb9cfd51773f0f0c51630.jpg,640,640,semiOpenFist,82,120,524,537
IMG_20220501_163227_jpg.rf.93a8e9e74a9c6afef68b9af38408c1b8.jpg,640,640,semiOpenFist,31,105,523,450
IMG_20220502_142132_jpg.rf.92ac7b658f65d89a0be762839c5e586b.jpg,640,640,fingerSymbols,0,64,640,531
IMG_20220509_134011_jpg.rf.8f488d2f35de7ab316794250e3406421.jpg,640,640,closedFist,103,182,581,465
IMG_20220501_152045_jpg.rf.936f0152e035b15530fe38c32876588d.jpg,640,640,semiOpenPalm,0,49,640,623
IMG_20220522_180945_jpg.rf.937195e0c5b23dd37b0bbf8b04c0ad81.jpg,640,640,fingerSymbols,0,0,640,640
IMG_20220502_140146_jpg.rf.93d5b5bb013ec45be39749c55f2c04d0.jpg,640,640,closedFist,133,180,578,470
IMG_20220509_131541_jpg.rf.90ee416c3f4414170b8e05d79eb5bb0e.jpg,640,640,openPalm,1,105,590,589
IMG_20220521_105710_jpg.rf.9403c4c6c8e347083761a62ea2413db4.jpg,640,640,semiOpenPalm,0,176,595,439
IMG_20220430_181858_jpg.rf.8dd9df3fe4d1fdc399446b34f164493a.jpg,640,640,fingerSymbols,80,98,463,542
IMG_20220522_164705_jpg.rf.93b1cbeb8fb51499c771a01c1e89cfff.jpg,640,640,semiOpenFist,64,58,640,560
IMG_20220509_130055_jpg.rf.941b75295231425ac49cf56937cd4319.jpg,640,640,openPalm,0,246,640,491
IMG_20220522_175659_jpg.rf.953d68630a8196d9236868275e70a4a3.jpg,640,640,fingerCircle,0,93,640,445
IMG_20220523_115135_jpg.rf.92b69582f4f175f473b995a8f0716cbf.jpg,640,640,fingerCircle,166,56,528,495
IMG_20220509_134039_jpg.rf.9604857ec160b5d96824c1fbce2a0d4b.jpg,640,640,semiOpenFist,0,184,640,583
IMG_20220430_183637_jpg.rf.94497164cbcd9f7ae7a685e462711676.jpg,640,640,fingerCircle,11,53,519,623
IMG_20220502_140437_jpg.rf.96c236e75ee5165c4b4e9d7b278d99a5.jpg,640,640,singleFingerBend,119,85,525,486
IMG_20220521_105825_jpg.rf.96c2a324ed8fdafedc6fef58c14fada5.jpg,640,640,singleFingerBend,27,212,535,509
IMG_20220509_134837_jpg.rf.97353c22205d3a68273e1f12ea438eec.jpg,640,640,singleFingerBend,36,66,640,577
IMG_20220522_165745_jpg.rf.955cc0698cf03234a5efe1a4ab6564d7.jpg,640,640,fingerSymbols,22,108,598,640
IMG_20220509_130348_jpg.rf.97491f8bc99691dae3eb21fa5eaa4003.jpg,640,640,semiOpenFist,69,139,583,569
IMG_20220430_182105_jpg.rf.96613979703e68d8a376185f286ec767.jpg,640,640,fingerSymbols,207,28,585,302
IMG_20220502_132427_jpg.rf.8dea2e96a094ebb30886814a8b1660db.jpg,640,640,semiOpenPalm,0,265,584,509
IMG_20220430_181315_jpg.rf.97511bd62eed8d4d6133f531fbc77ce7.jpg,640,640,fingerCircle,0,136,640,408
IMG_20220524_135901_jpg.rf.97c716eda6b0f3f9d8440fbfafd707aa.jpg,640,640,openPalm,0,89,640,627
IMG_20220521_110032_jpg.rf.8d9082745ca4dd10e4119ee0e9227c44.jpg,640,640,fingerSymbols,0,0,640,640
IMG_20220501_152034_jpg.rf.97cf715cf222887e665dfc540512fcc9.jpg,640,640,semiOpenPalm,0,78,580,596
IMG_20220522_180813_jpg.rf.9821250b68cb68557d9de386c5445b8c.jpg,640,640,singleFingerBend,0,0,640,640
IMG_20220502_143136_jpg.rf.9736b148f2c2e716801c01a854b00ab3.jpg,640,640,fingerCircle,102,188,585,506
IMG_20220502_140515_jpg.rf.98c90f7f07c1f8332eb338e0fc69e547.jpg,640,640,singleFingerBend,58,69,574,556
IMG_20220509_132249_jpg.rf.9754e721f7cd556f9a492357b39031c8.jpg,640,640,singleFingerBend,0,0,640,640
IMG_20220430_183515_jpg.rf.99af143fb9a4387e294f9855eb160877.jpg,640,640,semiOpenPalm,178,68,485,418
IMG_20220502_142911_jpg.rf.995a2022070a32f0715cfe9a32ab92a7.jpg,640,640,fingerSymbols,38,174,558,584
IMG_20220524_140206_jpg.rf.9515cafc0c62d2e3f83ffb4490dee2cc.jpg,640,640,fingerCircle,78,36,512,496
IMG_20220509_135210_jpg.rf.98f69b3ee098944687e246801e6a09de.jpg,640,640,fingerCircle,80,139,640,510
IMG_20220502_125314_jpg.rf.99684fb0da733503a07ce144cd1f046a.jpg,640,640,fingerSymbols,78,123,588,553
IMG_20220502_125805_jpg.rf.994d8ee71edc5c57b74535c109c65795.jpg,640,640,semiOpenPalm,117,124,489,558
IMG_20220523_115150_jpg.rf.99b6abf55844dbdcf591c38d0badacd8.jpg,640,640,fingerCircle,0,169,508,435
IMG_20220509_131026_jpg.rf.988de0a8fe7076a17e19ae92b2a98e2c.jpg,640,640,semiOpenFist,58,135,365,363
IMG_20220524_140322_jpg.rf.993f85bd9e72c5762a7c783f28e9a40d.jpg,640,640,singleFingerBend,20,64,640,640
IMG_20220430_183455_jpg.rf.9b2053b7f66e8c4e145e592f724e5bd4.jpg,640,640,semiOpenFist,28,71,640,547
IMG_20220502_140445_jpg.rf.9af5034cf132a4e88a61f3bbbe7e28af.jpg,640,640,singleFingerBend,119,170,587,564
IMG_20220524_140137_jpg.rf.8c6e02afcef2fdb6a1207b8cdb3a3087.jpg,640,640,semiOpenPalm,130,87,563,550
IMG_20220430_181234_jpg.rf.985e9ee6d798887ddeabff99c1d1c115.jpg,640,640,fingerCircle,34,201,502,515
IMG_20220501_152354_01_jpg.rf.8d64df9167df6d9688c5426f412cec22.jpg,640,640,fingerCircle,0,0,640,498
IMG_20220522_142758_jpg.rf.9b31fd04b01b17e09125b0eb31303db5.jpg,640,640,fingerSymbols,52,224,624,592
IMG_20220502_140620_jpg.rf.9b532f422ce93b2ae087cd3889e3fba6.jpg,640,640,fingerSymbols,0,0,640,640
IMG_20220522_175812_jpg.rf.9b3c667c8f2a66771f8c0549cc42bd0c.jpg,640,640,fingerSymbols,114,133,468,614
IMG_20220522_175814_jpg.rf.9b1ac40b3f51c44a68ae92e398e80bad.jpg,640,640,fingerSymbols,109,125,534,583
IMG_20220522_175657_jpg.rf.9a5717bdfbd081db24b9404107140405.jpg,640,640,fingerCircle,36,151,640,438
IMG_20220522_142339_jpg.rf.9b53933cc359f25268ce4f5c42586f03.jpg,640,640,closedFist,166,229,594,501
IMG_20220501_154243_jpg.rf.9b52226b9ea1778df8ee71b60430150b.jpg,640,640,fingerSymbols,0,0,566,498
IMG_20220509_131129_jpg.rf.8c9714fbf6a326593f348fd74768013b.jpg,640,640,semiOpenPalm,72,186,589,425
IMG_20220524_141553_jpg.rf.9bd6eba118c3f42a7e6f427a0eb18812.jpg,640,640,fingerSymbols,52,106,626,590
IMG_20220522_175433_jpg.rf.9c8cc2716cf257d612c1febd8c01a74c.jpg,640,640,semiOpenFist,0,131,640,495
IMG_20220501_152040_jpg.rf.9b9301d9ad45caf1c1d498f7251d7a4c.jpg,640,640,semiOpenPalm,0,34,640,614
IMG_20220509_131122_jpg.rf.9c6541ae6dc564570df3b34d9eb4e7fc.jpg,640,640,semiOpenPalm,42,242,572,475
IMG_20220430_185329_jpg.rf.9a78686d335eb4c937a0238b960482b9.jpg,640,640,fingerSymbols,0,187,640,504
IMG_20220502_135445_jpg.rf.9c07d0f22066511c73c3e5d236bcc66b.jpg,640,640,singleFingerBend,138,71,572,562
IMG_20220522_141844_jpg.rf.9b4e7a494db6e1b22eb8b77451dfd303.jpg,640,640,singleFingerBend,28,56,539,575
IMG_20220509_131758_jpg.rf.9ce87133f0522673409d41a22f491c5c.jpg,640,640,closedFist,0,0,640,640
IMG_20220502_141556_jpg.rf.8c5fc1d26e0274e63eed42fb8c861f97.jpg,640,640,closedFist,42,176,552,523
IMG_20220521_105727_jpg.rf.9ce20ebcbde8f9f56a2da26bedb7705d.jpg,640,640,fingerCircle,92,147,491,539
IMG_20220509_135125_jpg.rf.9d7eb92ded6ca25bc4d3636cb1a6ee15.jpg,640,640,fingerCircle,94,114,596,610
IMG_20220502_125604_jpg.rf.9df27b5ae65426e304ce4849c99ec40c.jpg,640,640,openPalm,29,133,545,534
IMG_20220522_164826_jpg.rf.9d7f7420161b8b42166beecb8fe665cc.jpg,640,640,semiOpenPalm,0,22,640,640
IMG_20220509_134223_jpg.rf.9de4f737d8201e2f12483a9b71ab8fee.jpg,640,640,fingerCircle,0,188,640,531
IMG_20220502_141725_jpg.rf.9dcf7c5b2024ab6310f1aceb6ad6245b.jpg,640,640,semiOpenPalm,130,83,605,640
IMG_20220502_124913_jpg.rf.9d20d8ae745338ed165cb3ac1a34c9df.jpg,640,640,fingerCircle,31,137,539,500
IMG_20220509_134305_jpg.rf.9c8385f872b83cb69270c01fdea27e99.jpg,640,640,singleFingerBend,9,116,567,575
IMG_20220522_142745_jpg.rf.9e23ff4084914d142bdbbe465d78f30f.jpg,640,640,fingerSymbols,159,80,624,589
IMG_20220502_135254_jpg.rf.9e6c769ee7db1fe9400b72a038c9f604.jpg,640,640,closedFist,75,198,561,572
IMG_20220509_133909_jpg.rf.9f1ac05e3e3f0ab7c62515d923ee17ac.jpg,640,640,openPalm,0,165,618,640
IMG_20220509_132914_jpg.rf.9cd9a16b6efd43b4fe1ccd31045242d1.jpg,640,640,semiOpenPalm,69,137,530,556
IMG_20220521_105934_jpg.rf.9e965b79d0c5ac35fb94729826b99bc5.jpg,640,640,fingerSymbols,114,191,540,589
IMG_20220522_141704_jpg.rf.9f035734c0eb9840333dc9414c48233b.jpg,640,640,closedFist,75,75,572,463
IMG_20220430_183014_jpg.rf.9d14d3ca0ae41b7456e890ec1d2ee95e.jpg,640,640,semiOpenFist,133,106,539,470
IMG_20220502_141706_jpg.rf.9e5acdf9b55d272d0299fa175911d6cd.jpg,640,640,semiOpenFist,0,43,640,640
IMG_20220522_175925_jpg.rf.9f815dd01243c4a29aad46fa12917f1e.jpg,640,640,fingerSymbols,0,0,640,640
IMG_20220524_140509_jpg.rf.9f71e596fb09e29d98f794d05e79da0a.jpg,640,640,fingerSymbols,0,158,600,570
IMG_20220509_135207_jpg.rf.9f2c1a9d9e280e5c3b23ea76faffd970.jpg,640,640,fingerCircle,36,202,640,549
IMG_20220509_133113_jpg.rf.9fadda345d736cfaa0ba41915d83f592.jpg,640,640,fingerSymbols,0,0,640,640
